mo_id,criminal_id,crime_type,entry_method,escape_method,target_selection,crime_timing,weapon_used,dress_pattern,communication_method,vehicle_used,accomplice_count,victim_selection,planning_level,technology_used,repeat_pattern,special_notes
1,CRM-IND-00001,Assault,Window break,Car escape,Offices after hours,Late night (11PM-3AM),Knife,Dark clothing,WhatsApp,Stolen vehicle,0,Jewelry shops,Impulsive,GPS tracker,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
2,CRM-IND-00002,Drug Offense,Roof entry,On foot,Isolated houses,Late night (11PM-3AM),None,Sports wear,Coded language,Stolen vehicle,0,IT parks,Impulsive,Fake documents,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. White Collar offender. No gang affiliation.
3,CRM-IND-00003,Cybercrime,Roof entry,On foot,Street vendors,Evening (6PM-9PM),None,Helmet and visor,WhatsApp,Auto rickshaw,2,Parked vehicles,Professional,GPS tracker,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Non-violent offender. Gang affiliated: Scorpion Crew.
4,CRM-IND-00004,Theft,Front door,Hiding in crowd,Parked vehicles,Morning (6AM-10AM),Chain,Workman overalls,Coded language,Car,0,Parked vehicles,Opportunistic,None,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. No gang affiliation.
5,CRM-IND-00005,Theft,Lock picking,Through lanes,Isolated houses,Late night (11PM-3AM),None,Uniform disguise,Hand signals,Car,2,Parked vehicles,Highly Planned,Fake documents,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. No gang affiliation.
6,CRM-IND-00006,Drug Offense,Door break,Bus,Festival crowds,Morning (6AM-10AM),None,Helmet and visor,Prepaid SIM,SUV,5,Women walking alone,Impulsive,None,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. No gang affiliation.
7,CRM-IND-00007,Fraud,Wall breach,Bike escape,Isolated houses,Late night (11PM-3AM),Machete,Formal attire,Prepaid SIM,Truck,1,Construction sites,Highly Planned,Lock pick set,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
8,CRM-IND-00008,Fraud,Key duplication,Car escape,Elderly people,Midnight,Iron Rod,Casual clothes,Telegram,Tempo,3,Construction sites,Impulsive,Signal jammer,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Habitual Offender offender. No gang affiliation.
9,CRM-IND-00009,Murder,Back door,Through lanes,Women walking alone,Dusk,None,Sports wear,Hand signals,Stolen vehicle,2,Construction sites,Impulsive,Hacking tools,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Violent offender. Gang affiliated: Shadow Syndicate.
10,CRM-IND-00010,Sexual Offense,Window break,Bus,Construction sites,Late night (11PM-3AM),Iron Rod,Casual clothes,Telegram,Motorcycle,2,Jewelry shops,Professional,None,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. Gang affiliated: Night Wolves.
11,CRM-IND-00011,Cybercrime,Door break,Auto rickshaw,Street vendors,Dawn,Pistol,Helmet and visor,Hand signals,Motorcycle,6,IT parks,Opportunistic,GPS tracker,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. No gang affiliation.
12,CRM-IND-00012,Robbery,Lock picking,Auto rickshaw,Elderly people,Evening (6PM-9PM),Sword,Dark clothing,Face to face,On foot,4,College students,Impulsive,Skeleton keys,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. No gang affiliation.
13,CRM-IND-00013,Sexual Offense,Back door,Taxi,Elderly people,Evening (6PM-9PM),None,Uniform disguise,Telegram,Van,6,Parked vehicles,Opportunistic,GPS tracker,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Habitual Offender offender. Gang affiliated: Vishrantwadi Boys.
14,CRM-IND-00014,Fraud,Roof entry,Auto rickshaw,Parked vehicles,Midnight,None,Black hoodie,Signal,Tempo,3,Parked vehicles,Highly Planned,Lock pick set,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
15,CRM-IND-00015,Assault,Fire escape,Train,Banks,Dusk,None,Formal attire,Coded language,Truck,2,Offices after hours,Opportunistic,Signal jammer,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. No gang affiliation.
16,CRM-IND-00016,Cybercrime,Wall breach,Taxi,College students,Afternoon (12PM-3PM),Sword,Formal attire,Face to face,Auto rickshaw,3,Isolated houses,Highly Planned,Night vision,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. No gang affiliation.
17,CRM-IND-00017,Cybercrime,Roof entry,Taxi,Isolated houses,Dusk,None,Sports wear,WhatsApp,On foot,4,Street vendors,Highly Planned,Signal jammer,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. No gang affiliation.
18,CRM-IND-00018,Cybercrime,Key duplication,Auto rickshaw,Banks,Midnight,Chain,Dark clothing,Face to face,Truck,0,Isolated houses,Opportunistic,Lock pick set,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. No gang affiliation.
19,CRM-IND-00019,Robbery,Roof entry,On foot,Elderly people,Dusk,Pistol,Helmet and visor,WhatsApp,Motorcycle,6,IT parks,Opportunistic,Signal jammer,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Violent offender. No gang affiliation.
20,CRM-IND-00020,Theft,Roof entry,Bus,Street vendors,Dawn,Knife,Dark clothing,Signal,Bicycle,1,College students,Opportunistic,Skeleton keys,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
21,CRM-IND-00021,Extortion,Roof entry,Train,College students,Dawn,Axe,Sports wear,WhatsApp,Truck,0,Banks,Professional,None,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. White Collar offender. No gang affiliation.
22,CRM-IND-00022,Kidnapping,Wall breach,Bike escape,Elderly people,Late night (11PM-3AM),None,Face mask and cap,Telegram,Bicycle,6,College students,Highly Planned,Skeleton keys,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. No gang affiliation.
23,CRM-IND-00023,Kidnapping,Not applicable,Bike escape,Offices after hours,Dawn,None,Black hoodie,Face to face,Truck,6,Offices after hours,Highly Planned,GPS tracker,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. White Collar offender. Gang affiliated: Wagh Mandali.
24,CRM-IND-00024,Fraud,Window break,Bike escape,Jewelry shops,Late night (11PM-3AM),None,Formal attire,Face to face,Motorcycle,1,Jewelry shops,Highly Planned,Night vision,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. No gang affiliation.
25,CRM-IND-00025,Extortion,Back door,Auto rickshaw,Isolated houses,Afternoon (12PM-3PM),Cricket Bat,Face mask and cap,Signal,Stolen vehicle,0,College students,Moderately Planned,Hacking tools,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Organized Crime offender. Gang affiliated: Cobra Unit.
26,CRM-IND-00026,Drug Offense,Not applicable,Through lanes,Elderly people,Midnight,None,Sports wear,Signal,Auto rickshaw,6,Banks,Professional,GPS tracker,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. White Collar offender. No gang affiliation.
27,CRM-IND-00027,Fraud,Door break,Auto rickshaw,Isolated houses,Late night (11PM-3AM),None,Workman overalls,Coded language,Van,6,Elderly people,Professional,Skeleton keys,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as High risk. White Collar offender. Gang affiliated: Silver Hawks.
28,CRM-IND-00028,Extortion,Door break,Auto rickshaw,Construction sites,Morning (6AM-10AM),None,Sports wear,Coded language,Stolen vehicle,4,Construction sites,Impulsive,None,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. No gang affiliation.
29,CRM-IND-00029,Murder,Door break,Taxi,IT parks,Evening (6PM-9PM),None,Casual clothes,Hand signals,Auto rickshaw,3,Parked vehicles,Impulsive,Fake documents,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Habitual Offender offender. Gang affiliated: Vishrantwadi Boys.
30,CRM-IND-00030,Kidnapping,Back door,Train,IT parks,Dusk,Axe,Black hoodie,Hand signals,Truck,1,Construction sites,Highly Planned,None,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Violent offender. No gang affiliation.
31,CRM-IND-00031,Assault,Window break,Train,ATMs,Late night (11PM-3AM),None,Face mask and cap,Prepaid SIM,Motorcycle,0,College students,Opportunistic,GPS tracker,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
32,CRM-IND-00032,Fraud,Back door,Train,Banks,Afternoon (12PM-3PM),Iron Rod,Uniform disguise,Face to face,Bicycle,5,Banks,Moderately Planned,Fake documents,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
33,CRM-IND-00033,Assault,Window break,On foot,Street vendors,Afternoon (12PM-3PM),Cricket Bat,Face mask and cap,Face to face,Tempo,1,College students,Impulsive,Hacking tools,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
34,CRM-IND-00034,Sexual Offense,Not applicable,Train,Festival crowds,Late night (11PM-3AM),None,Face mask and cap,Telegram,Auto rickshaw,2,Elderly people,Impulsive,Lock pick set,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. Gang affiliated: Fire Eagles.
35,CRM-IND-00035,Extortion,Key duplication,Hiding in crowd,Parked vehicles,Evening (6PM-9PM),Knife,Face mask and cap,Face to face,Van,3,Offices after hours,Professional,None,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Non-violent offender. No gang affiliation.
36,CRM-IND-00036,Fraud,Window break,Bus,Women walking alone,Late night (11PM-3AM),Hammer,Helmet and visor,WhatsApp,Auto rickshaw,5,Street vendors,Moderately Planned,GPS tracker,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. No gang affiliation.
37,CRM-IND-00037,Robbery,Front door,Auto rickshaw,Offices after hours,Dawn,Cricket Bat,Workman overalls,Signal,Truck,5,Isolated houses,Impulsive,Signal jammer,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. White Collar offender. No gang affiliation.
38,CRM-IND-00038,Murder,Fire escape,Through lanes,Construction sites,Afternoon (12PM-3PM),None,Sports wear,Face to face,Van,1,IT parks,Impulsive,Signal jammer,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. No gang affiliation.
39,CRM-IND-00039,Cybercrime,Roof entry,Car escape,Parked vehicles,Dusk,Knife,Helmet and visor,Face to face,Car,1,Elderly people,Moderately Planned,None,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as High risk. White Collar offender. No gang affiliation.
40,CRM-IND-00040,Extortion,Roof entry,Train,Jewelry shops,Late night (11PM-3AM),None,Formal attire,Prepaid SIM,Bicycle,3,Elderly people,Opportunistic,None,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
41,CRM-IND-00041,Kidnapping,Lock picking,Train,Women walking alone,Afternoon (12PM-3PM),Axe,Casual clothes,Hand signals,Truck,1,Construction sites,Professional,Night vision,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
42,CRM-IND-00042,Drug Offense,Front door,On foot,Street vendors,Morning (6AM-10AM),None,Workman overalls,Telegram,Stolen vehicle,6,Parked vehicles,Opportunistic,Lock pick set,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. No gang affiliation.
43,CRM-IND-00043,Theft,Lock picking,Through lanes,Street vendors,Late night (11PM-3AM),Iron Rod,Helmet and visor,Face to face,SUV,0,Jewelry shops,Impulsive,Skeleton keys,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. White Collar offender. No gang affiliation.
44,CRM-IND-00044,Extortion,Door break,Taxi,IT parks,Dawn,Cricket Bat,Dark clothing,WhatsApp,On foot,4,Street vendors,Moderately Planned,Lock pick set,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. Gang affiliated: Dhole Patti Gang.
